lat,lon,country,county,local_administrative_area,locality,postcode,state,state_code,village
46.6501430,10.2301992,Switzerland,Region Engiadina Bassa/Val Müstair,Zernez,Stabelchod,7530,Grisons,GR,Zernez
47.4309774,9.6201700,Switzerland,Wahlkreis Rheintal,Berneck,Eichholz,9442,St. Gallen,N/A,Berneck
47.3511680,8.4897796,Switzerland,District Zurich,Zurich,N/A,8063,Zurich,ZH,N/A
47.3291235,8.5007261,Switzerland,Bezirk Affoltern,Stallikon,N/A,8143,Zurich,ZH,Stallikon
47.3152439,8.5050559,Switzerland,Bezirk Affoltern,Stallikon,N/A,8143,Zurich,ZH,Stallikon
47.3164826,8.5186003,Switzerland,Bezirk Horgen,Adliswil,N/A,8134,Zurich,ZH,N/A
46.6864945,8.5941959,Switzerland,N/A,Wassen,N/A,6484,Uri,UR,Wassen
46.7582930,8.6574212,Switzerland,N/A,Silenen,N/A,6476,Uri,UR,Amsteg
47.5352432,8.0967558,Switzerland,Bezirk Laufenburg,Laufenburg,N/A,5085,Aargau,AG,Sulz
46.8255681,6.5042809,Switzerland,District du Jura-Nord vaudois,Sainte-Croix,N/A,1450,Vaud,VD,Sainte-Croix
46.8326800,6.5145084,Switzerland,District du Jura-Nord vaudois,Sainte-Croix,N/A,1450,Vaud,VD,Sainte-Croix
46.8356755,6.5227180,Switzerland,District du Jura-Nord vaudois,Sainte-Croix,N/A,1450,Vaud,VD,Sainte-Croix
46.8435439,6.5313614,Switzerland,District du Jura-Nord vaudois,Bullet,N/A,1452,Vaud,VD,Les Rasses
46.8556668,6.5501737,Switzerland,District du Jura-Nord vaudois,Fiez,N/A,1453,Vaud,VD,Fiez
46.8634566,6.5658229,Switzerland,District du Jura-Nord vaudois,Bullet,N/A,1453,Vaud,VD,Bullet
46.8609414,6.6144089,Switzerland,District du Jura-Nord vaudois,Mauborget,N/A,1453,Vaud,VD,Mauborget
46.8964957,6.6098089,Switzerland,N/A,Val-de-Travers,N/A,2112,Neuchâtel,NE,Môtiers NE
47.3265932,9.0257357,Switzerland,Wahlkreis Toggenburg,Mosnang,N/A,9614,St. Gallen,N/A,Libingen
47.3204765,9.0322050,Switzerland,Wahlkreis Toggenburg,Mosnang,N/A,9614,St. Gallen,N/A,Libingen
