;date;lat;lon;temperature_2m;relative_humidity_2m;precipitation_probability;precipitation;rain;showers;snowfall;snow_depth;weather_code;pressure_msl;surface_pressure;cloud_cover;cloud_cover_low;cloud_cover_mid;cloud_cover_high;visibility;wind_speed_10m;wind_direction_10m;wind_gusts_10m;uv_index;uv_index_clear_sky;is_day;sunshine_duration
0;2023-12-31 22:00:00+00:00;46.02000046;9;1.977;99;;0;0;0;0;0;45;1011.1;902.3949;80;54;54;0;60;2.7416782;23.198618;11.5199995;0;0;0;0
1;2023-12-31 23:00:00+00:00;46.02000046;9;1.577;97;;0;0;0;0;0;45;1011.2;902.33624;48;39;12;0;60;4.6102495;321.34018;17.28;0;0;0;0
2;2024-01-01 00:00:00+00:00;46.02000046;9;1.8424999;94;;0;0;0;0;0;0;1012.3;903.4162;9;9;0;0;520;6.6185193;292.3802;30.239998;0;0;0;0
3;2024-01-01 01:00:00+00:00;46.02000046;9;2.5425;82;;0;0;0;0;0;1;1011.9;903.3174;0;0;0;0;24140;5.8603754;317.4896;27.72;0;0;0;0
4;2024-01-01 02:00:00+00:00;46.02000046;9;2.5425;76;;0;0;0;0;0;1;1011.9;903.3174;0;0;0;0;24140;5.904439;322.43134;25.56;0;0;0;0
5;2024-01-01 03:00:00+00:00;46.02000046;9;2.4924998;74;;0;0;0;0;0;1;1012;903.3882;0;0;0;0;24140;1.8;36.86999;28.08;0;0;0;0
6;2024-01-01 04:00:00+00:00;46.02000046;9;1.9425;70;;0;0;0;0;0;2;1011.8;903.00696;41;0;0;41;24140;4.8965297;323.97253;25.919998;0;0;0;0
7;2024-01-01 05:00:00+00:00;46.02000046;9;1.9425;68;;0;0;0;0;0;2;1011.7;902.9177;41;0;0;41;24140;3.2399998;360;26.28;0;0;0;0
8;2024-01-01 06:00:00+00:00;46.02000046;9;1.4425;67;;0;0;0;0;0;1;1013.2;904.07117;100;0;0;100;24140;4.379589;9.462248;28.44;0;0;0;0
9;2024-01-01 07:00:00+00:00;46.02000046;9;2.2424998;58;;0;0;0;0;0;3;1013;904.1887;100;0;0;100;24140;6.638072;40.601215;27.72;0;0;0;0
10;2024-01-01 08:00:00+00:00;46.02000046;9;3.0924997;62;;0;0;0;0;0;3;1013.2;904.68005;100;0;0;100;24140;10.514218;51.952908;31.319998;0.1;0.1;1;0
11;2024-01-01 09:00:00+00:00;46.02000046;9;3.9924998;64;;0;0;0;0;0;3;1013.9;905.6346;100;0;0;100;24140;8.049845;63.435013;30.239998;0.6;0.6;1;3600
12;2024-01-01 10:00:00+00:00;46.02000046;9;4.8925;68;;0;0;0;0;0;3;1013.6;905.69403;100;0;3;100;24140;4.73506;81.25392;27.359999;1.1;1.2;1;3600
13;2024-01-01 11:00:00+00:00;46.02000046;9;5.8424997;63;;0;0;0;0;0;3;1012.9;905.4119;78;0;0;78;24140;4.3498964;114.44395;25.199999;1.45;1.6;1;3600
14;2024-01-01 12:00:00+00:00;46.02000046;9;5.7425;71;;0;0;0;0;0;3;1013.3;905.73346;100;0;0;100;24140;2.5959969;213.6901;24.84;1.6;1.75;1;3600
15;2024-01-01 13:00:00+00:00;46.02000046;9;5.3925;76;;0;0;0;0;0;3;1013.3;905.6072;100;0;0;100;24140;2.7416782;246.80138;24.48;1.4;1.6;1;3600
16;2024-01-01 14:00:00+00:00;46.02000046;9;5.4424996;66;;0;0;0;0;0;3;1013.5;905.80383;100;0;0;100;24140;1.1384199;251.56496;21.599998;1.05;1.15;1;3600
17;2024-01-01 15:00:00+00:00;46.02000046;9;4.9424996;82;;0;0;0;0;0;3;1013.8;905.891;100;0;0;100;24140;1.4399999;180;18;0.5;0.55;1;3221.8813
18;2024-01-01 16:00:00+00:00;46.02000046;9;3.9424996;72;;0;0;0;0;0;1;1014;905.7056;15;0;0;15;24140;0.5091169;44.999897;14.759999;0.1;0.1;0;0
19;2024-01-01 17:00:00+00:00;46.02000046;9;3.4424996;50;;0;0;0;0;0;0;1014.8;906.2371;0;0;0;0;24140;7.5170207;16.699326;19.8;0;0;0;0
20;2024-01-01 18:00:00+00:00;46.02000046;9;2.7925;62;;0;0;0;0;0;0;1016.4;907.4269;0;0;0;0;24140;7.928177;39.47243;19.44;0;0;0;0
21;2024-01-01 19:00:00+00:00;46.02000046;9;2.9924998;57;;0;0;0;0;0;1;1016.6;907.6792;5;0;0;5;24140;8.78872;34.9921;23.4;0;0;0;0
22;2024-01-01 20:00:00+00:00;46.02000046;9;3.2925;51;;0;0;0;0;0;2;1016;907.2538;87;0;0;87;24140;8.587338;33.023872;23.4;0;0;0;0
23;2024-01-01 21:00:00+00:00;46.02000046;9;2.1925;63;;0;0;0;0;0;1;1017.3;908.0083;0;0;0;0;24140;6.638072;40.601215;22.319998;0;0;0;0
24;2024-01-01 22:00:00+00:00;46.02000046;9;2.5924997;57;;0;0;0;0;0;0;1016.6;907.5313;3;0;0;3;24140;8.669949;48.366554;20.16;0;0;0;0
25;2024-01-01 23:00:00+00:00;46.02000046;9;2.5924997;57;;0;0;0;0;0;2;1016.9;907.7992;52;0;21;34;24140;6.792466;57.99466;16.199999;0;0;0;0
26;2024-01-02 00:00:00+00:00;46.02000046;9;2.0425;64;;0;0;0;0;0;3;1017.5;908.1313;100;0;30;100;24140;7.2;53.13002;17.64;0;0;0;0
27;2024-01-02 01:00:00+00:00;46.02000046;9;1.8925;65;;0;0;0;0;0;3;1017.3;907.8969;100;0;100;100;24140;7.7879906;56.3099;18;0;0;0;0
28;2024-01-02 02:00:00+00:00;46.02000046;9;2.4924998;58;;0;0;0;0;0;3;1017.2;908.0301;100;0;100;100;24140;6.696387;53.74608;18.359999;0;0;0;0
29;2024-01-02 03:00:00+00:00;46.02000046;9;2.0924997;61;;0;0;0;0;0;3;1017.1;907.7925;100;0;100;100;24140;6.1305785;40.236294;20.16;0;0;0;0
30;2024-01-02 04:00:00+00:00;46.02000046;9;2.3424997;59;;0;0;0;0;0;3;1016.5;907.3497;100;0;100;100;24140;6.638072;49.398785;17.64;0;0;0;0
31;2024-01-02 05:00:00+00:00;46.02000046;9;2.3925;58;;0;0;0;0;0;3;1016.4;907.27905;100;0;33;100;24140;7.7043357;37.405437;20.519999;0;0;0;0
32;2024-01-02 06:00:00+00:00;46.02000046;9;1.6425;76;;0;0;0;0;0;3;1016.7;907.2685;100;0;100;100;24140;4.1046314;52.124958;21.24;0;0;0;0
33;2024-01-02 07:00:00+00:00;46.02000046;9;1.6425;66;;0;0;0;0;0;3;1016.3;906.91156;100;0;32;100;24140;5.3999996;53.13002;19.08;0;0;0;0
34;2024-01-02 08:00:00+00:00;46.02000046;9;2.2925;65;;0;0;0;0;0;3;1016.2;907.06335;100;0;36;100;24140;7.145796;49.085716;19.44;0.1;0.1;1;0
35;2024-01-02 09:00:00+00:00;46.02000046;9;2.6925;78;;0;0;0;0;0;3;1017.1;908.0149;100;0;95;100;24140;0.71999997;90;18.359999;0.6;0.65;1;2055.8833
36;2024-01-02 10:00:00+00:00;46.02000046;9;3.7424998;75;;0;0;0;0;0;3;1016.5;907.86536;100;0;83;100;24140;0.8049845;296.56497;15.4800005;1.1;1.2;1;3600
37;2024-01-02 11:00:00+00:00;46.02000046;9;4.0425;72;;0;0;0;0;0;3;1015.9;907.4393;100;0;26;100;24140;0.5091169;224.9999;13.32;1.55;1.65;1;3600
38;2024-01-02 12:00:00+00:00;46.02000046;9;4.2925;72;;0;0;0;0;0;3;1015.2;906.90546;100;0;0;100;24140;0;180;13.32;1.4;1.85;1;3600
39;2024-01-02 13:00:00+00:00;46.02000046;9;4.5425;63;;0;0;0;0;0;3;1014;905.9245;100;0;0;100;24140;2.2768397;18.435053;12.959999;1.4;1.65;1;3600
40;2024-01-02 14:00:00+00:00;46.02000046;9;4.2925;56;;0;0;0;0;0;3;1014.1;905.9227;100;6;29;100;24140;3.0758414;69.44387;13.32;1;1.15;1;3600
41;2024-01-02 15:00:00+00:00;46.02000046;9;4.2925;55;;0;0;0;0;0;3;1013.6;905.4761;100;44;38;100;24140;2.9024127;29.744795;11.879999;0.45;0.6;1;0
42;2024-01-02 16:00:00+00:00;46.02000046;9;3.6924996;78;;0;0;0;0;0;3;1013;904.7212;100;70;100;100;24140;4.73506;81.25392;17.64;0.05;0.1;0;0
43;2024-01-02 17:00:00+00:00;46.02000046;9;3.3424997;86;;0;0;0;0;0;3;1013;904.5932;100;71;100;100;24140;3.5455887;66.037506;13.679999;0;0;0;0
44;2024-01-02 18:00:00+00:00;46.02000046;9;3.3925;91;;0;0;0;0;0;3;1013.8;905.3258;100;91;100;100;24140;2.6208394;285.94547;13.32;0;0;0;0
45;2024-01-02 19:00:00+00:00;46.02000046;9;3.1425;90;;0;0;0;0;0;3;1012.3;903.8949;100;83;93;100;24140;1.609969;243.43501;10.08;0;0;0;0
46;2024-01-02 20:00:00+00:00;46.02000046;9;2.8424997;93;;0;0;0;0;0;3;1012.7;904.1418;100;81;96;100;24140;0.71999997;270;14.759999;0;0;0;0
47;2024-01-02 21:00:00+00:00;46.02000046;9;3.3925;90;;0;0;0;0;0;3;1012.2;903.89703;100;93;100;100;24140;3.219938;63.435013;7.5599995;0;0;0;0
48;2024-01-02 22:00:00+00:00;46.02000046;9;3.2925;89;;0;0;0;0;0;3;1011.6;903.3247;100;21;100;100;24140;4.6800003;67.3801;10.08;0;0;0;0
49;2024-01-02 23:00:00+00:00;46.02000046;9;3.1425;89;;0;0;0;0;0;3;1011;902.73413;100;0;100;100;24140;4.1046314;74.74483;9.72;0;0;0;0
50;2024-01-03 00:00:00+00:00;46.02000046;9;2.6425;99;;0;0;0;0;0;2;1011.5;902.99695;93;87;36;0;24140;2.3051248;128.65984;10.440001;0;0;0;0
51;2024-01-03 01:00:00+00:00;46.02000046;9;2.2424998;89;;0;0;0;0;0;1;1011.4;902.7606;67;55;30;0;24140;4.0249224;26.564985;9.36;0;0;0;0
52;2024-01-03 02:00:00+00:00;46.02000046;9;1.9425;86;;0;0;0;0;0;1;1011.4;902.64996;37;13;28;0;24140;2.0364676;44.999897;10.08;0;0;0;0
53;2024-01-03 03:00:00+00:00;46.02000046;9;2.6425;84;;0;0;0;0;0;1;1010.6;902.1935;52;35;33;0;24140;3.6179552;5.7105074;12.599999;0;0;0;0
54;2024-01-03 04:00:00+00:00;46.02000046;9;1.9925;90;;0;0;0;0;0;1;1010.2;901.5974;4;0;4;0;24140;3.319036;40.601215;23.4;0;0;0;0
55;2024-01-03 05:00:00+00:00;46.02000046;9;1.9925;87;;0;0;0;0;0;1;1009.6;901.0619;0;0;0;0;24140;0.8049845;333.43503;23.039999;0;0;0;0
56;2024-01-03 06:00:00+00:00;46.02000046;9;1.8424999;80;;0;0;0;0;0;1;1010.6;901.89905;0;0;0;0;24140;4.3498964;335.55606;20.16;0;0;0;0
57;2024-01-03 07:00:00+00:00;46.02000046;9;1.8925;78;;0;0;0;0;0;0;1010.8;902.09595;0;0;0;0;24140;5.495161;328.39255;27;0;0;0;0
58;2024-01-03 08:00:00+00:00;46.02000046;9;2.1925;80;;0;0;0;0;0;0;1010.5;901.93884;0;0;0;0;24140;1.5273507;315.0001;26.64;0.1;0.1;1;453.66425
59;2024-01-03 09:00:00+00:00;46.02000046;9;3.8424997;75;;0;0;0;0;0;0;1010.4;902.45374;0;0;0;0;24140;0.35999998;270;25.199999;0.6;0.6;1;3600
60;2024-01-03 10:00:00+00:00;46.02000046;9;4.9424996;80;;0;0;0;0;0;0;1010.7;903.121;0;0;0;0;24140;3.5455887;293.9625;20.880001;1.2;1.2;1;3600
61;2024-01-03 11:00:00+00:00;46.02000046;9;5.2925;77;;0;0;0;0;0;0;1010.2;902.8005;0;0;0;0;24140;6.0347;287.3541;27;1.65;1.65;1;3600
